comment_id,stakeholder_name,draft_id,draft_section,comment
C0030,Chakrika Dhaliwal,Draft_5,Section 9,"Some clauses are overly technical and difficult to implement In addition, The amendment in Section 9 is a welcome step and will ease compliance. Furthermore, as mandated under, Some clauses are overly technical and difficult to implement."
C0031,Deepa Sama,Draft_5,Section 2,"The definition provided in Section 2 is ambiguous and creates confusion. Furthermore, The penalties in Section 2 are too harsh and may discourage compliance."
C0032,Upadhriti Saxena,Draft_4,Section 10,"- Some clauses are overly technical and difficult to implement. - The penalties in Section 10 are too harsh and may discourage compliance. (Section 9, Regulation 13)"
C0033,Champak Purohit,Draft_6,Section 1,"The definition provided in Section 1 is ambiguous and creates confusion. Consequently, The reporting requirements in Section 1 are impractical for small businesses. Consequently, The reporting requirements in Section 1 are impractical for small businesses. (Section 4, Regulation 5) Despite The amendment in Section 1 is a welcome step and will ease compliance."
C0034,Yashasvi Sidhu,Draft_3,Section 1,  The  proposed timelines seem practical and considerate Although The proposed timelines seem practical and considerate. ...
C0035,Indira Mangat,Draft_5,Section 8,"  -  The penalties in Section 8 are too harsh and may discourage compliance. - The timelines mentioned in Section 8 seem reasonable, but further clarity is needed. (Section 3, Regulation 14) - Overall the draft is balanced, though some minor improvements can be made. - The definition provided in Section 8 is ambiguous and creates confusion. (Section 5, Regulation 13)"
C0036,Girindra Borah,Draft_5,Section 10,"No significant issues found, but detailed implementation will matter. Whereas The timelines mentioned in Section 10 seem reasonable, but further clarity is needed. (Section 7, Regulation 10) However, hereinafter referred to as, Overall the draft is balanced, though some minor improvements can be made. (MCA Guidelines 2018) Furthermore, notwithstanding the foregoing, Certain sections require cross-referencing for completeness. (Section 2, Regulation 9)"
C0037,Lila Chada,Draft_1,Section 2,"The inclusion of MSMEs in Section 2 is highly appreciated. However, shall be deemed, The draft repeats older provisions without adding clarity. However, as mandated under, Some clauses are overly technical and difficult to implement. Furthermore, subject to the provisions, The draft repeats older provisions without adding clarity. However, Some clauses are overly technical and difficult to implement."
C0038,Sathvik Samra,Draft_4,Section 10,"Some clauses are overly technical and difficult to implement. Although The inclusion of MSMEs in Section 10 is highly appreciated. (Section 2, Regulation 6)"
C0039,Januja Dhingra,Draft_2,Section 2,"  The  draft document covers key areas adequately. Consequently, Certain sections require cross-referencing for completeness. Consequently, Certain sections require cross-referencing for completeness. In addition, The timelines mentioned in Section 2 seem reasonable, but further clarity is needed. However, Overall the draft is balanced, though some minor improvements can be made. However, The timelines mentioned in Section 2 seem reasonable, but further clarity is needed. In addition, Overall the draft is balanced, though some minor improvements can be made. Although The draft document covers key areas adequately. In addition, The draft document covers key areas adequately. Whereas Overall the draft is balanced, though some minor improvements can be made. Whereas Certain sections require cross-referencing for completeness. Consequently, Overall the draft is balanced, though some minor improvements can be made. Whereas as mandated under, The timelines mentioned in Section 2 seem reasonable, but further clarity is needed. Consequently, Certain sections require cross-referencing for completeness."
C0040,Nathaniel Dube,Draft_2,Section 2,This provision aligns with global best practices and benefits stakeholders. Although The amendment in Section 2 is a welcome step and will ease compliance. (MCA Guidelines 2022) ...
C0041,Yuvraj Comar,Draft_1,Section 8,The reporting requirements in Section 8 are impractical for small businesses. Although The draft repeats older provisions without adding clarity.
C0042,Krishna Kumer,Draft_4,Section 3,"The inclusion of MSMEs in Section 3 is highly appreciated. In addition, The amendment in Section 3 is a welcome step and will ease compliance."
C0043,Adweta Sabharwal,Draft_3,Section 2,"The amendment in Section 2 is a welcome step and will ease compliance. Whereas The draft shows a progressive approach towards transparency. Although in accordance with the regulations, The amendment in Section 2 is a welcome step and will ease compliance."
C0044,Damini Rai,Draft_6,Section 10,"The reporting requirements in Section 10 are impractical for small businesses In addition, The penalties in Section 10 are too harsh and may discourage compliance. In addition, The draft repeats older provisions without adding clarity. Whereas The definition provided in Section 10 is ambiguous and creates confusion."
C0045,Chaman Krishnan,Draft_1,Section 4,"  The  proposed timelines seem practical and consi
derate. However, The definition provided in Section 4 is ambiguous and creates confusion."
C0046,Yochana Johal,Draft_5,Section 9,"  The  reporting requirements in Section 9 are impractical for small businesses. However, The draft repeats older provisions without adding clarity. (Rule 9 of Companies Act 2018) However, pursuant to the applicable laws, The reporting requirements in Section 9 are impractical for small businesses. Although The draft repeats older provisions without adding clarity. Furthermore, The penalties in Section 9 are too harsh and may discourage compliance. Although for the avoidance of doubt, Some clauses are overly technical and difficult to implement. Despite The definition provided in Section 9 is ambiguous and creates confusion. Although The reporting requirements in Section 9 are impractical for small businesses. Furthermore, in accordance with the regulations, The reporting requirements in Section 9 are impractical for small businesses. (MCA Guidelines 2018) However, The draft repeats older provisions without adding clarity. Whereas The reporting requirements in Section 9 are impractical for small businesses. Furthermore, as mandated under, The draft repeats older provisions without adding clarity."
C0047,Raksha Gour,Draft_4,Section 5,"  The  definition provided in Section 5 is ambiguous and creates confusion. Furthermore, in accordance with the regulations, The reporting requirements in Section 5 are impractical for small businesses. Whereas pursuant to the applicable laws, This provision aligns with global best practices and benefits stakeholders."
C0048,Tanveer Tank,Draft_3,Section 6,"The draft shows a progressive approach towa
rds transparency. However, This provision aligns with global best practices and benefits stakeholders."
C0049,Yug Raj,Draft_6,Section 5,"The inclusion of MSMEs in Section 5 is highly appreciated. Whereas This provision aligns with global best practices and benefits stakeholders. Although The proposed timelines seem practical and considerate. Whereas The draft shows a progressive approach towards transparency. (Section 5, Regulation 14) However, The draft shows a progressive approach towards transparency. (MCA Guidelines 2019) Whereas shall be deemed, This provision aligns with global best practices and benefits stakeholders. Although Some clauses are overly technical and difficult to implement. Although notwithstanding the foregoing, The inclusion of MSMEs in Section 5 is highly appreciated. In addition, The inclusion of MSMEs in Section 5 is highly appreciated. Despite The definition provided in Section 5 is ambiguous and creates confusion."
C0050,Naveen Uppal,Draft_6,Section 2,"The draft shows a progressive approach towards transparency. In addition, The inclusion of MSMEs in Section 2 is highly appreciated. Whereas The reporting requirements in Section 2 are impractical for small businesses. Although This provision aligns with global best practices and benefits stakeholders."
C0051,Azad Buch,Draft_3,Section 8,"  Some  clauses are overly technical and difficult to implement. Consequently, The penalties in Section 8 are too harsh and may discourage compliance. In addition, The inclusion of MSMEs in Section 8 is highly appreciated."
C0052,Omya Mody,Draft_3,Section 7,- The draft shows a progressive approach towards transparency. (MCA Guidelines 2021) - The penalties in Section 7 are too harsh and may discourage compliance. - The amendment in Section 7 is a welcome step and will ease compliance.
C0053,Anita Devi,Draft_5,Section 9,"This provision aligns with global best practices and benefits stakeholders Consequently, This provision aligns with global best practices and benefits stakeholders. Although The proposed timelines seem practical and considerate. However, The proposed timelines seem practical and considerate. (Section 4, Regulation 14) Although Some clauses are overly technical and difficult to implement."
C0054,Matthew Lala,Draft_6,Section 10,"Overall the draft is balanced, though some minor improvements can be made. Whereas No significant issues found, but detailed implementation will matter. Despite Overall the draft is balanced, though some minor improvements can be made. Although The timelines mentioned in Section 10 seem reasonable, but further clarity is needed. In addition, Overall the draft is balanced, though some minor improvements can be made. Whereas No significant issues found, but detailed implementation will matter. Consequently, notwithstanding the foregoing, Overall the draft is balan
ced, though some minor improvements can be made. However, The timelines mentioned in Section 10 seem reasonable, but further clarity is needed. Consequently, The draft document covers key areas adequately. Furthermore, Overall the draft is balanced, though some minor improvements can be made. In addition, Overall the draft is balanced, though some minor improvements can be made. Furthermore, as mandated under, Certain sections require cross-referencing for completeness. (Rule 5 of Companies Act 2021) Consequently, No significant issues found, but detailed implementation will matter. (MCA Guidelines 2019)"
C0055,Alexander Rama,Draft_6,Section 6,"  The  draft shows a progressive approach towards transparency. Whereas The amendment in Section 6 is a welcome step and will ease compliance. Consequently, The draft shows a progressive approach towards transparency. Whereas hereinafter referred to as, The amendment in Section 6 is a welcome step and will ease compliance."
C0056,Faraj Sarraf,Draft_5,Section 9,"  The  definition provided in Section 9 is ambiguous and creates confusion. Consequently, subject to the provisions, This provision aligns with global best practices and benefits stakeholders. In addition, The penalties in Section 9 are too harsh and may discourage compliance."
C0057,Krishna Badami,Draft_2,Section 10,"This provision aligns with global best practices and benefits stakeholders. Although The draft shows a progressive approach towards transparency. Although as mandated under, The draft shows a progressive approach towards transparency. However, The draft repeats older provisions without adding clarity."
C0058,Saanvi Thaman,Draft_3,Section 2,The penalties in Section 2 are too harsh and may discourage compliance Although The proposed timelines seem practical and considerate.
C0059,Balhaar Dutta,Draft_5,Section 1,"The draft repeats older provisions without adding clarity. Furthermore, in accordance with the regulations, The penalties in Section 1 are too harsh and may discourage compliance."
C0060,Liam Bhattacharyya,Draft_1,Section 4,"  Overall  the draft is balanced, though some minor improvements can be made In addition, The timelines mentioned in Section 4 seem reasonable, but further clarity is needed. Furthermore, Overall the draft is balanced, though some minor improvements can be made. However, pursuant to the applicable laws, The timelines mentioned in Section 4 seem reasonable, but further clarity is needed. Although in accordance with the regulations, The timelines mentioned in Section 4 seem reasonable, but further clarity is needed. (MCA Guidelines 2024) However, subject to the provisions, No significant issues found, but detailed implementation will matter. (Rule 10 of Companies Act 2018) In addition, Overall the draft is balanced, though some minor improvements can be made. Despite The timelines mentioned in Section 4 seem reasonable, but further clarity is needed. (Rule 9 of Companies Act 2025) Although No significant issues found, but detailed implementation will matter. (MCA Guidelines 2018) Despite Overall the draft is balanced, though some minor improvements can be made. However, No significant issues found, but detailed implementation will matter."
C0061,Jackson Manne,Draft_1,Section 1,"  Overall  the draft is balanced, though some minor improvements can be made. Whereas The draft document covers key areas adequately. (Rule 8 of Companies Act 2018)"
C0062,Hemang Bhasin,Draft_1,Section 2,"  The  draft document covers key areas adequately. Whereas No significant issues found, but detailed implementation will matter. Consequently, The draft document covers key areas adequately. Although No significant issues found, but detailed implementation will matter. Whereas No significant issues found, but detailed implementation will matter. Although The draft document covers key areas adequately. Consequently, The timelines mentioned in Section 2 seem reasonable, but further clarity is needed. Consequently, The draft document covers key areas adequately. In addition, The timelines mentioned in Section 2 seem reasonable, but further clarity is needed. (Section 3, Regulation 3) However, The timelines mentioned in Section 2 seem reasonable, but further clarity is needed. Furthermore, Overall the draft is balanced, though some minor improvements can be made. However, subject to the provisions, The timelines mentioned in Section 2 seem reasonable, but further clarity is needed. Despite No significant issues found, but detailed implementation will matter. However, hereinafter referred to as, No significant issues found, but detailed implementation will matter."
C0063,Hemal Hegde,Draft_2,Section 4,"  Some  clauses are overly technical and difficult to implement. Consequently, The draft shows a progressive approach towards transparency. Consequently, subject to the provisions, The draft shows a progressive approach towards transparency. Consequently, hereinafter referred to as, The penalties in Section 4 are too harsh and may discourage compliance. Consequently, Some clauses are overly technical and difficult to implement."
C0064,Wyatt Saran,Draft_1,Section 2,- The reporting requirements in Section 2 are impractical for small businesses. - The amendment in Section 2 is a welcome step and will ease compliance. - The definition provided in Section 2 is ambiguous and creates confusion. - The definition provided in Section 2 is ambiguous and creates confusion.
C0065,Isha Sathe,Draft_4,Section 3,"  Overall  the draft is balanced, though some minor improvements can be made. In addition, No significant issues found, but detailed implementation will matter. Furthermore, notwithstanding the foregoing, The timelines mentioned in Section 3 seem reasonable, but further clarity is needed. (Rule 3 of Companies Act 2020) Furthermore, The timelines mentioned in Section 3 seem reasonable, but further clarity is needed. (Section 2, Regulation 12) Despite No significant issues found, but detailed implementation will matter."
C0066,Shaurya Bhatt,Draft_3,Section 6,"The timelines mentioned in Section 6 seem reasonable, but furtreh clarity is needed. However, Overall the draft is balanced, though some minor improvements can be made. (MCA Guidelines 2024)"
C0067,Harrison Modi,Draft_3,Section 6,"The definition provided in Section 6 is ambiguous and creates confusion. Consequently, The definition provided in Section 6 is ambiguous and creates confusion. Consequently, The definition provided in Section 6 is ambiguous and creates confusion. Consequently, The definition provided in Section 6 is ambiguous and creates confusion. In addition, The draft repeats older provisions without adding clarity. Consequently, subject to th
e provisions, The draft repeats older provisions without adding clarity. Consequently, The reporting requirements in Section 6 are impractical for small businesses. Consequently, The definition provided in Section 6 is ambiguous and creates confusion. (MCA Guidelines 2024) Whereas The reporting requirements in Section 6 are impractical for small businesses. Consequently, The draft repeats older provisions without adding clarity. In addition, shall be deemed, The draft repeats older provisions without adding clarity."
C0068,Kamala Kapoor,Draft_3,Section 6,"The definition provided in Section 6 is ambiguous and creates confusion. Consequently, for the avoidance of doubt, The reporting requirements in Section 6 are impractical for small businesses. (Rule 3 of Companies Act 2018)"
C0069,Vedant Vaidya,Draft_6,Section 1,The draft shows a progressive approach towards transparency Although The penalties in Section 1 are too harsh and may discourage compliance. (MCA Guidelines 2018)
C0070,Shivani Bakshi,Draft_6,Section 3,"  The  draft shows a progressive approach towards transparency. However, The inclusion of MSMEs in Section 3 is highly appreciated. However, The inclusion of MSMEs in Section 3 is highly appreciated. Although The amendment in Section 3 is a welcome step and will ease compliance. Despite The proposed timelines seem practical and considerate. (MCA Guidelines 2018)"
C0071,Dayamai Aurora,Draft_5,Section 1,"The penalties in Section 1 are too harsh and may discourage compliance. In addition, The definition provided in Section 1 is ambiguous and creates confusion. Whereas The repor
ting requirements in Section 1 are impractical for small businesses. Furthermore, The definition provided in Section 1 is ambiguous and creates confusion. (MCA Guidelines 2021) Consequently, The inclusion of MSMEs in Section 1 is highly appreciated."
C0072,Niharika Kanda,Draft_3,Section 8,"  -  The definition provided in Section 8 is ambiguous and creates confusion. - Overall the draft is balanced, though some minor improvements can be made. (MCA Guidelines 2018) - The amendment in Section 8 is a welcome step and will ease compliance. - The definition provided in Section 8 is ambiguous and creates confusion. - The amendment in Section 8 is a welcome step and will ease compliance. (MCA Guidelines 2021) ..."
C0073,Bhanumati Rau,Draft_5,Section 5,"  Overall  the draft is balanced, though some minor improvements can be made. Whereas pursuant to the applicable laws, Certain sections require cross-referencing for completeness. Despite Certain sections require cross-referencing for completeness."
C0074,Falan Balasubramanian,Draft_1,Section 8,"The timelines mentioned in Section 8 seem reasonable, but further clarity is needed. Whereas Overall the draft is balanced, though some minor improvements can be made. Whereas The ti
melines mentioned in Section 8 seem reasonable, but further clarity is needed. (Section 4, Regulation 15) In addition, The draft document covers key areas adequately. Consequently, No significant issues found, but detailed implementation will matter."
C0075,Amaira Pau,Draft_1,Section 5,"Certain sections require cross-referencing for completeness. Whereas Certain sections require cross-referencing for completeness. However, Overall the draft is balanced, though some minor improvements can be made. Furthermore, The draft document covers key areas adequately."
C0076,Anirudh Walia,Draft_2,Section 2,"1. The timelines mentioned in Section 2 seem reasonable, but further clarity is needed. (Section 7, Regulation 9) 2. Overall the draft is balanced, though some minor improvements can be made. (Rule 2 of Companies Act 2020) 3. Some clauses are overly technical and difficult to implement. 4. The proposed timelines seem practical and considerate. (Section 2, Regulation 15) 5. The draft repeats older provisions without adding clarity."
C0077,Bhanumati Gara,Draft_1,Section 7,"The amendment in Section 7 is a welcome step and will ease compliance. In addition, notwithstanding the foregoing, This provision aligns with global best practices and benefits stakeholders. (MCA Guidelines 2022) Whereas This provision aligns with global best practices and benefits stakeholders. Consequently, as mandated under, The inclusion of MSMEs in Section 7 is highly appreciated. Whereas The amendment in Section 7 is a welcome step and will ease compliance."
C0078,Bhanumati Srinivas,Draft_1,Section 10,"The draft repeats older provisions without adding clarity. Although The definition provided in Section 10 is ambiguous and creates confusion. Furthermore, The reporting requirements in Section 10 are impractical for small businesses."
C0079,Oeshi Rastogi,Draft_2,Section 8,"The penalties in Section 8 are too harsh and may discourage compliance. Whereas The inclusion of MSMEs in Section 8 is highly appreciated. However, The amendment in Section 8 is a welcome step and will ease compliance. (MCA Guidelines 2018)"
C0080,Ridhi Bansal,Draft_2,Section 3,"  Some  clauses are overly technical and difficult to implement. Furthermore, The definition provided in Section 3 is ambiguous and creates confusion. However, The penalties in Section 3 are too harsh and may discourage compliance. Although Some clauses are overly technical and difficult to implement. However, The penalties in Section 3 are too harsh and may discourage compliance."
C0081,Darsh Dhaliwal,Draft_4,Section 9,"This provision aligns with global best practices and benefits stakeholders. Although The penalties in Section 9 are too harsh and may discourage compliance. In addition, The reporting requirements in Section 9 are impractical for small businesses. Although The reporting requirements in Section 9 are impractical for small businesses. ..."
C0082,Hemal Dua,Draft_4,Section 3,"Some clauses are overly technical and difficult to implement. Despite Some clauses are overly technical and difficult to implement. Despite The reporting requirements in Section 3 are impractical for small businesses. Despite The definition provided in Section 3 is ambiguous and creates confusion. Consequently, The penalties in Section 3 are too hasrh and may discourage compliance."
C0083,Gauri Acharya,Draft_1,Section 5,"No significant issues found, but detailed implementa
tion will matter. Furthermore, Certain sections require cross-referencing for completeness. (MCA Guidelines 2025)"
C0084,Krisha Kalla,Draft_6,Section 5,"The definition provided in Section 5 is ambiguous and creates confusion. Furthermore, The inclusion of MSMEs in Section 5 is highly appreciated. (Section 8, Regulation 11) Whereas The definition provided in Section 5 is ambiguous and creates confusion. Whereas The draft repeats older provisions without adding clarity."
C0085,Christopher Bakshi,Draft_2,Section 9,"The draft repeats older provisions without adding clarity However, Some clauses are overly technical and difficult to implement. Whereas The reporting requirements in Section 9 are impractical for small businesses."
C0086,Ekbal Deo,Draft_6,Section 7,  1.  The draft document covers key areas adequately. (Rule 10 of Companies Act 2021) 2. The penalties in Section 7 are too harsh and may discourage compliance.
C0087,Nisha Nagar,Draft_4,Section 8,"  The  draft document covers key areas a
dequately. In addition, Certain sections require cross-referencing for completeness."
C0088,Barkha Pandey,Draft_1,Section 3,"The proposed timelines seem practical and considerate. Furthermore, The proposed timelines seem practical and consid
erate. Consequently, The inclusion of MSMEs in Section 3 is highly appreciated. Despite The penalties in Section 3 are too harsh and may discourage compliance. However, The amendment in Section 3 is a welcome step and will ease compliance. (MCA Guidelines 2020)"
C0089,Ekapad Upadhyay,Draft_2,Section 5,"The penalties in Section 5 are too harsh and may discourage compliance. Furthermore, The inclusion of MSMEs in Section 5 is highly appreciated. Furthermore, Some clauses are overly technical and difficult to implement."
C0090,Jhalak Dyal,Draft_3,Section 6,"The penalties in Section 6 are too harsh and may discourage compliance. Furthermore, The proposed timelines seem practical and considerate. However, The penalties in Section 6 are too harsh and may discourage compliance. Consequently, hereinafter referred to as, The amendment in Section 6 is a welcome step and will ease compliance."
C0091,Sathvik Dhar,Draft_3,Section 7,"  The  definition provided in Section 7 is ambiguous and creates confusion. Whereas Some clauses are overly technical and difficult to implement. Consequently, The draft shows a progressive approach towards transparency. Despite This provision aligns with global best practices and benefits stakeholders. Whereas The draft repeats older provisions without adding clarity. (Section 6, Regulation 13)"
C0092,Jeevika Bhasin,Draft_6,Section 5,"1. The inclusion of MSMEs in Section 5 is highly appreciated
. 2. Certain sections require cross-referencing for completeness. 3. The draft document covers key areas adequately."
C0093,Tarak Koshy,Draft_4,Section 4,"The amendment in Section 4 is a welcome step and will ease compliance. Whereas The inclusion of MSMEs in Section 4 is highly appreciated. Furthermore, hereinafter referred to as, The proposed timelines seem practical and considerate. In addition, The amendment in Section 4 is a welcome step and will ease compliance. Consequently, The inclusion of MSMEs in Section 4 is highly appreciated."
C0094,Simon Srinivasan,Draft_1,Section 4,"The proposed timelines seem practical and considerate. Whereas The draft shows a progressive approach towards transparency. Furthermore, This provision aligns with global best practices and benefits stakeholders. In addition, The amendment in Section 4 is a welcome step and will ease compliance."
C0095,Brinda Kalita,Draft_6,Section 9,"The proposed timelines seem practical and considerate Furthermore, notwithstanding the foregoing, The proposed timelines seem practical and considerate. Consequently, The proposed timelines seem practical and considerate. Despite The amendment in Section 9 is a welcome step and will ease compliance. Although pursuant to the applicable laws, This provision aligns with global best practices and benefits stakeholders."
C0096,Upkaar Kala,Draft_4,Section 6,"The proposed timelines seem practical and considerate. Furthermore, The reporting requirements in Section 6 are impractical for small businesses. Although The definition provided in Section 6 is ambiguous and creates confusion. (Rule 6 of Companies Act 2019)"
C0097,Eta Aurora,Draft_5,Section 5,1 The penalties in Section 5 are too harsh and may discourage compliance. 2. The draft document covers key areas adequately. 3. Some clauses are overly technical and difficult to implement. (MCA Guidelines 2024) ...
C0098,Zinal Bava,Draft_1,Section 4,"The reporting requirements in Section 4 are impractical for small businesses. Despite Some clauses are overly technical and difficult to implement. Although The draft repeats older provisions without adding clarity. However, for the avoidance of doubt, The definition provided in Section 4 is ambiguous and creates confusion. Consequently, The penalties in Section 4 are too harsh and may discourage compliance. (Rule 1 of Companies Act 2023)"
C0099,Zaid Dey,Draft_5,Section 2,"  The  penalties in Section 2 are too harsh and may discourage compliance. Despite The draft repeats older provisions without adding clarity. Although The draft repeats older provisions without adding clarity. Although The inclusion of MSMEs in Section 2 is highly appreciated. Despite The draft repeats older provisions without adding clarity. Consequently, The inclusion of MSMEs in Section 2 is highly appreciated. In addition, The definition provided in Section 2 is ambiguous and creates confusion. Although The penalties in Section 2 are too harsh and may discourage compliance. (Rule 4 of Companies Act 2018) Although pursuant to the applicable laws, Some clauses are overly technical and difficult to implement. (Rule 3 of Companies Act 2022) Whereas The reporting requirements in Section 2 are impractical for small businesses. Despite shall be deemed, The reporting requirements in Section 2 are impractical for small businesses. (MCA Guidelines 2022)"
